"","area","use_of_elec","use_of_gas","average_hour","GHG","operation_type"
"1",46145,1259536.639968,34119.044817,70,115197.073847127,"Administrative Offices"
"2",10053,70947.464935,5120.625161,70,12565.4990095001,"Administrative Offices"
"3",39590,480158.208258,46939.289277,70,108376.426776944,"Administrative Offices"
"4",43002,105617.726288,26977.436363,70,55473.4751359475,"Administrative Offices"
"5",18299,181378.16795,21082.354917,70,47305.0655302757,"Administrative Offices"
"6",34843,710224.493645,48343.39698,70,120246.447554736,"Administrative Offices"
"7",780061,13448190.390591,0,70,2513373.15858996,"Administrative Offices"
"8",8530,112550.609416,0,70,4502.02437664,"Administrative Offices"
"9",132999,7361109.368871,256042.353333,70,780845.472958007,"Administrative Offices"
"10",18277,852922.552577,44993.611613,70,119590.81614818,"Administrative Offices"
"11",102516,1655333.666755,105208.749355,70,266077.3557324,"Administrative Offices"
"12",120104,1950837.440774,105860.71371,70,279136.03685871,"Administrative Offices"
"13",67544,1789712.880129,104399.566785,70,269915.328230957,"Administrative Offices"
"14",19849,96300.750907,32070.238962,70,64775.5422900018,"Administrative Offices"
"15",55004,257136.326745,71888.497563,70,146851.313005255,"Administrative Offices"
"16",154925,2723553.057807,187349.212962,70,464847.548684062,"Administrative Offices"
"17",20279,478213.007582,44398.22722,70,103471.388570842,"Administrative Offices"
"18",22497,455275.527357,29544.3875,70,74336.198584155,"Administrative Offices"
"19",25898,137418.228668,22153.381818,70,47581.2870525564,"Administrative Offices"
"20",8999,86176.777138,22131.600341,70,45490.2509373143,"Administrative Offices"
"21",22497,433208.672966,5095.970487,70,27009.111093089,"Administrative Offices"
"22",45000,499083.804226,57983.00494,70,130113.086823509,"Administrative Offices"
"23",2540,12945.063125,1065.239296,70,2541.42696321824,"Administrative Offices"
"24",787186,8690881.448355,0,70,1750968.00713175,"Administrative Offices"
"25",66747,437159.118292,39868.871875,70,93224.8619438988,"Administrative Offices"
"26",18934,434366.582728,19831.304724,70,55047.9945802556,"Administrative Offices"
"27",303518,5708637.585484,421383.239882,70,1028843.0303908,"Administrative Offices"
"28",350494,2695471.443516,0,70,1273619.2401268,"Administrative Offices"
"29",9365,85638.054839,23231.588544,70,47558.3386347114,"Administrative Offices"
"30",39170,119614.56185,106591.62402,70,207275.624708554,"Administrative Offices"
"31",13487,127005.602241,27474.865227,70,57273.9508127196,"Administrative Offices"
"32",6394,72104.03425,10646.245097,70,23108.7267183199,"Administrative Offices"
"33",111385,1889680.717165,31349.151515,70,135140.89832813,"Administrative Offices"
"34",25327,312114.850573,37404.054285,70,83540.7019075917,"Administrative Offices"
"35",96369,1123136.117935,95125.031606,70,225633.516009002,"Administrative Offices"
"36",372868,6230563.653322,234291.112903,70,694303.03040358,"Administrative Offices"
"37",19999,476648.435573,39833.878664,70,94737.9583821342,"Administrative Offices"
"38",55413,987151.378646,43817.687272,70,122726.077479586,"Administrative Offices"
"39",20968,100143.033517,9136.805647,70,21362.8196602294,"Administrative Offices"
"40",64831,3126117.365032,143803.174517,70,398226.14719948,"Administrative Offices"
"41",14768,180400.162163,18998.215903,70,43306.7272552901,"Administrative Offices"
"42",52108,1259737.918774,0,70,50389.51675096,"Administrative Offices"
"43",4844,28793.696561,14158.581945,70,28048.664397537,"Administrative Offices"
"44",72915,1241941.161548,98679.058534,70,237137.267168374,"Administrative Offices"
"45",143494,3586967.411064,266369.11275,168,649497.436242608,"Ambulance Stations"
"46",1658,14583.570083,6934.107432,168,13755.9973508161,"Ambulance Stations"
"47",21781,127576.968774,10569.655429,168,25182.147472877,"Ambulance Stations"
"48",7782,293727.811835,25612.507929,168,60404.937661042,"Ambulance Stations"
"49",13153,155135.672001,14947.105882,168,34600.2944530166,"Ambulance Stations"
"50",5005,61059.502486,9522.631318,168,20532.4275879314,"Ambulance Stations"
"51",3574,32518.56625,10804.889215,168,21826.6826428433,"Ambulance Stations"
"52",1938,36345.747557,1565,168,4426.84475228,"Ambulance Stations"
"53",2756,28377.286888,10067.363273,168,20259.9608116054,"Ambulance Stations"
"54",4252,57917.869565,5729.751515,168,13201.4664381304,"Ambulance Stations"
"55",1345,67472.79221,14709.879232,168,30643.1221666381,"Ambulance Stations"
"56",2799,39517.039883,8744.716172,168,18192.9314601067,"Ambulance Stations"
"57",2583,42799.235403,3545.119318,168,8446.59713333142,"Ambulance Stations"
"58",2659,24869.98581,5452.875455,168,11353.572405509,"Ambulance Stations"
"59",1905,40286.004148,10379.105295,168,21328.5227037786,"Ambulance Stations"
"60",16380,202466.186778,49396.337161,168,101936.3752125,"Ambulance Stations"
"61",2831,40930.251701,5044.826667,168,11220.8168390732,"Ambulance Stations"
"62",3218,19951.862767,4581.673226,168,9501.83332137994,"Ambulance Stations"
"63",3132,32766.324839,6476.973561,168,13614.8948976561,"Ambulance Stations"
"64",13939,63845.014859,56482.411964,168,109852.873778251,"Ambulance Stations"
"65",4413,50237.894072,5517.457994,168,12490.9755395019,"Ambulance Stations"
"66",5102,69599.426214,18773.825265,168,38448.4251662279,"Ambulance Stations"
"67",1927,41646.771455,0,168,1665.8708582,"Ambulance Stations"
"68",12798,164849.341926,17497.990216,168,39834.730710473,"Ambulance Stations"
"69",1841,84957.880374,14369.00067,168,30694.9620977523,"Ambulance Stations"
"70",6997,122124.681529,13681.281935,168,30875.1817402602,"Ambulance Stations"
"71",11496,85123.411237,11348.729394,168,24964.0041919679,"Ambulance Stations"
"72",1572,21069.711151,7445.317792,168,14986.5842023245,"Ambulance Stations"
"73",1787,37819.173547,4697.51003,168,10436.5797707707,"Ambulance Stations"
"74",38760,696813.828836,58512.893966,168,139028.912691711,"Ambulance Stations"
"75",1324,67467.104323,15453.041536,168,32054.6726484438,"Ambulance Stations"
"76",15554,466784.164728,0,100,18671.36658912,"Community Centres"
"77",37975,268415.171068,37893.223127,100,82721.9838848506,"Community Centres"
"78",7513,91837.753157,15512.44739,100,33142.3513085891,"Community Centres"
"79",20774,356478.09547,0,100,14259.1238188,"Community Centres"
"80",19773,204597.124998,22821.423583,100,51537.5151663093,"Community Centres"
"81",9537,117133.05868,14950.095446,100,33085.8691650117,"Community Centres"
"82",10204,107053.085294,24877.253841,100,51541.1937609693,"Community Centres"
"83",46166,1324707.215129,258253.009926,100,543588.949031483,"Community Centres"
"84",11733,261155.848883,11791.535056,100,32846.4951858526,"Community Centres"
"85",4004,6769.055047,0,100,270.76220188,"Community Centres"
"86",43185,808200.936885,52652.834631,100,132352.100895564,"Community Centres"
"87",57867,226287.999394,88777.232705,100,177700.741173121,"Community Centres"
"88",5769,69242.495001,0,100,2769.69980004,"Community Centres"
"89",14951,142581.126178,6516.366061,100,18082.3204895411,"Community Centres"
"90",6997,336831.460602,21844.449044,100,54970.9398284764,"Community Centres"
"91",56317,936822.397871,54290.605902,100,140608.21704081,"Community Centres"
"92",8999,57691.246521,0,100,2307.64986084,"Community Centres"
"93",2508,46991.463708,7474.557613,100,16079.00090016,"Community Centres"
"94",2282,8260.675626,3775.388508,100,7502.49481980252,"Community Centres"
"95",2906,59059.046872,8038.343869,100,17632.7233393806,"Community Centres"
"96",89125,1931331.729967,149275.603333,100,360830.640094347,"Community Centres"
"97",25015,323755.398146,53080.95246,100,113787.570504577,"Community Centres"
"98",21657,328211.52375,40156.909613,100,89414.14057272,"Community Centres"
"99",13972,332702.890387,33321.659719,100,76608.9393670671,"Community Centres"
"100",31000,480046.9025,131277.277818,100,268588.007998076,"Community Centres"
"101",25510,342962.810824,27415.050909,100,65798.6104942782,"Community Centres"
"102",24725,716315.567968,36588.059568,100,98158.5935994539,"Community Centres"
"103",24402,196439.017742,28073.797097,100,61189.0723168799,"Community Centres"
"104",14725,154935.198409,18610.648044,100,41551.8699190664,"Community Centres"
"105",19364,258763.016717,39790.945121,100,85940.9812055925,"Community Centres"
"106",4359,8627.847218,0,100,345.11388872,"Community Centres"
"107",13853,127293.802558,24636.022223,100,51892.5571591309,"Community Centres"
"108",10000,89213.013109,18803.365583,100,39289.0860887293,"Community Centres"
"109",32841,543141.904903,36486.854828,100,91039.3894443233,"Community Centres"
"110",3681,26445.860979,0,100,1057.83443916,"Community Centres"
"111",39500,345960.685807,60730.389047,100,129207.340200975,"Community Centres"
"112",10236,379096.201773,40695.749488,100,92473.1564157787,"Community Centres"
"113",4306,26376.96035,11699.776263,100,23281.0263830585,"Community Centres"
"114",52377,1090733.855,118672.484286,100,269070.285873271,"Community Centres"
"115",13207,147637.274181,31079.869445,100,64947.6081532121,"Community Centres"
"116",24176,442906.683955,74418.276342,100,159087.922742334,"Community Centres"
"117",5952,126930.613062,0,100,5077.22452248,"Community Centres"
"118",26318,444956.910293,41096.107097,100,95868.1401028199,"Community Centres"
"119",22152,213957.994732,36209.092868,100,77344.3714196909,"Community Centres"
"120",5780,196534.232867,21473.604057,100,48654.5602057223,"Community Centres"
"121",1389,61310.5975,1051.093333,100,4449.17539376677,"Community Centres"
